,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,genre-label,genre-subtitle,narration,protagonist-gender,protagonist-policier,setting,availability,tei,status,decade
rf0563,rf0563,Balzac,male,MemoiresJeunesMariees,1841,narrative,novel,blanche,blanche,mémoires,n.av.,epistolary,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0345,rf0345,Dombre,female,Nounou,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0107,rf0107,Boisgobey,male,BandeRouge2,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf1023,rf1023,Gaboriau,male,CliqueDoree1,1871,narrative,novel,blanche,n.av.,Gesellschaftsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0058,rf0058,Zola,male,Germinal,1885,narrative,novel,blanche,blanche,Gesellschaftsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0301,rf0301,Aimard,male,BanditsArizona,1881,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0633,rf0633,FevalPP,male,Bossu,1857,narrative,novel,blanche,adventure,cape_et_épée,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1850s
rf0418,rf0418,Malot,male,Anie,1891,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0448,rf0448,Sand,female,MareDiable,1846,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0098,rf0098,Zola,male,JoieVivre,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0343,rf0343,Dombre,female,PupilleGenante,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf1003,rf1003,Boisgobey,male,DoubleBlanc,1889,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,n.av.,n.av.,urban,publicdomain,11,n.av.,1880s
rf0570,rf0570,Balzac,male,CousinPons,1847,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0564,rf0564,Balzac,male,ModesteMignon,1844,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0039,rf0039,Flaubert,male,BouvardPecuchet,1881,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0323,rf0323,Allais,male,AffaireBlaireau,1899,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0055,rf0055,Maupassant,male,PierreJean,1888,narrative,novel,blanche,blanche,Bildungsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0407,rf0407,Malot,male,Cara,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
